NID,Plot,Trail,Study,Species,Year,PlotYear,ident,FATE,EXP,OrdDate,TrailDist,RoadDist,EdgeDist,WTR,WBH,GPH,Core500,Edge60m,Core10km,Edge6010km,PatchArea,CoreArea,TrailType,UseLevel,PlotType,PatchType
610,EB6,EB6,MJP,AMRO,2009,EB6-09,06-10_2009,1,3,178,250.6,1067.16,360.27,4.2,8,1.509,0.977037887,0.020665901,0.240030253,0.095001948,493.1557688,493.1557688,Old Road,H,R,Core
610,EB6,EB6,MJP,AMRO,2009,EB6-09,06-10_2009,0,4,182,250.6,1067.16,360.27,4.2,8,1.509,0.977037887,0.020665901,0.240030253,0.095001948,493.1557688,493.1557688,Old Road,H,R,Core
611,EB6,EB6,MJP,AMRO,2009,EB6-09,06-11_2009,0,3,175,252.7,1007.45,408.29,4.2,8,1.509,0.977090493,0.021764032,0.240677714,0.095594976,493.1557688,493.1557688,Old Road,H,R,Core
614,EB6,EB6,MJP,AMRO,2009,EB6-09,06-14_2009,1,4,182,82.3,723.19,374.61,4.2,8,1.509,0.948335247,0.040183697,0.242712911,0.094263728,493.1557688,493.1557688,Old Road,H,R,Core
614,EB6,EB6,MJP,AMRO,2009,EB6-09,06-14_2009,1,5,187,82.3,723.19,374.61,4.2,8,1.509,0.948335247,0.040183697,0.242712911,0.094263728,493.1557688,493.1557688,Old Road,H,R,Core
614,EB6,EB6,MJP,AMRO,2009,EB6-09,06-14_2009,1,3,190,82.3,723.19,374.61,4.2,8,1.509,0.948335247,0.040183697,0.242712911,0.094263728,493.1557688,493.1557688,Old Road,H,R,Core
614,EB6,EB6,MJP,AMRO,2009,EB6-09,06-14_2009,0,5,195,82.3,723.19,374.61,4.2,8,1.509,0.948335247,0.040183697,0.242712911,0.094263728,493.1557688,493.1557688,Old Road,H,R,Core
615,EB6,EB6,MJP,AMRO,2009,EB6-09,06-15_2009,0,4,182,61.6,612.3,329.59,4.2,8,1.509,0.939150402,0.048220436,0.243753044,0.095473428,493.1557688,493.1557688,Old Road,H,R,Core
616,EB6,EB6,MJP,AMRO,2009,EB6-09,06-16_2009,1,3,190,148.7,828.09,543.36,4.2,8,1.509,1,0,0.242372847,0.096250097,493.1557688,493.1557688,Old Road,H,R,Core
616,EB6,EB6,MJP,AMRO,2009,EB6-09,06-16_2009,1,5,195,148.7,828.09,543.36,4.2,8,1.509,1,0,0.242372847,0.096250097,493.1557688,493.1557688,Old Road,H,R,Core
616,EB6,EB6,MJP,AMRO,2009,EB6-09,06-16_2009,1,3,198,148.7,828.09,543.36,4.2,8,1.509,1,0,0.242372847,0.096250097,493.1557688,493.1557688,Old Road,H,R,Core
616,EB6,EB6,MJP,AMRO,2009,EB6-09,06-16_2009,1,5,203,148.7,828.09,543.36,4.2,8,1.509,1,0,0.242372847,0.096250097,493.1557688,493.1557688,Old Road,H,R,Core
616,EB6,EB6,MJP,AMRO,2009,EB6-09,06-16_2009,1,5,208,148.7,828.09,543.36,4.2,8,1.509,1,0,0.242372847,0.096250097,493.1557688,493.1557688,Old Road,H,R,Core
616,EB6,EB6,MJP,AMRO,2009,EB6-09,06-16_2009,1,4,212,148.7,828.09,543.36,4.2,8,1.509,1,0,0.242372847,0.096250097,493.1557688,493.1557688,Old Road,H,R,Core
616,EB6,EB6,MJP,AMRO,2009,EB6-09,06-16_2009,1,4,216,148.7,828.09,543.36,4.2,8,1.509,1,0,0.242372847,0.096250097,493.1557688,493.1557688,Old Road,H,R,Core
617,EB6,EB6,MJP,AMRO,2009,EB6-09,06-17F_2009,1,5,195,147.1,982.08,594.85,4.2,8,1.509,1,0,0.241419912,0.095363601,493.1557688,493.1557688,Old Road,H,R,Core
617,EB6,EB6,MJP,AMRO,2009,EB6-09,06-17F_2009,1,3,198,147.1,982.08,594.85,4.2,8,1.509,1,0,0.241419912,0.095363601,493.1557688,493.1557688,Old Road,H,R,Core
617,EB6,EB6,MJP,AMRO,2009,EB6-09,06-17F_2009,0,5,203,147.1,982.08,594.85,4.2,8,1.509,1,0,0.241419912,0.095363601,493.1557688,493.1557688,Old Road,H,R,Core
619,EB6,EB6,MJP,AMRO,2009,EB6-09,06-19_2009,1,3,198,39.8,767.85,476.55,4.2,8,1.509,0.981588032,0.018411968,0.242655864,0.095309035,493.1557688,493.1557688,Old Road,H,R,Core
619,EB6,EB6,MJP,AMRO,2009,EB6-09,06-19_2009,1,5,203,39.8,767.85,476.55,4.2,8,1.509,0.981588032,0.018411968,0.242655864,0.095309035,493.1557688,493.1557688,Old Road,H,R,Core
619,EB6,EB6,MJP,AMRO,2009,EB6-09,06-19_2009,0,5,208,39.8,767.85,476.55,4.2,8,1.509,0.981588032,0.018411968,0.242655864,0.095309035,493.1557688,493.1557688,Old Road,H,R,Core
620,EB6,EB6,MJP,AMRO,2009,EB6-09,06-20_2009,1,5,203,103.2,886.58,491.91,4.2,8,1.509,1,0,0.241453702,0.094980518,493.1557688,493.1557688,Old Road,H,R,Core
701,EB7,EB7,MJP,AMRO,2009,EB7-09,07-01_2009,1,4,145,34.4,967.52,375.75,4.8,7.3,1.509,1,0,0.240075062,0.093730035,493.1557688,493.1557688,Old Road,H,R,Core
701,EB7,EB7,MJP,AMRO,2009,EB7-09,07-01_2009,1,5,150,34.4,967.52,375.75,4.8,7.3,1.509,1,0,0.240075062,0.093730035,493.1557688,493.1557688,Old Road,H,R,Core
701,EB7,EB7,MJP,AMRO,2009,EB7-09,07-01_2009,1,4,154,34.4,967.52,375.75,4.8,7.3,1.509,1,0,0.240075062,0.093730035,493.1557688,493.1557688,Old Road,H,R,Core
701,EB7,EB7,MJP,AMRO,2009,EB7-09,07-01_2009,1,4,158,34.4,967.52,375.75,4.8,7.3,1.509,1,0,0.240075062,0.093730035,493.1557688,493.1557688,Old Road,H,R,Core
701,EB7,EB7,MJP,AMRO,2009,EB7-09,07-01_2009,0,4,162,34.4,967.52,375.75,4.8,7.3,1.509,1,0,0.240075062,0.093730035,493.1557688,493.1557688,Old Road,H,R,Core
703,EB7,EB7,MJP,AMRO,2009,EB7-09,07-03_2009,1,4,154,61.4,843.31,482,4.8,7.3,1.509,0.988545246,0.011454754,0.24137931,0.093844902,493.1557688,493.1557688,Old Road,H,R,Core
703,EB7,EB7,MJP,AMRO,2009,EB7-09,07-03_2009,1,4,158,61.4,843.31,482,4.8,7.3,1.509,0.988545246,0.011454754,0.24137931,0.093844902,493.1557688,493.1557688,Old Road,H,R,Core
703,EB7,EB7,MJP,AMRO,2009,EB7-09,07-03_2009,1,4,162,61.4,843.31,482,4.8,7.3,1.509,0.988545246,0.011454754,0.24137931,0.093844902,493.1557688,493.1557688,Old Road,H,R,Core
703,EB7,EB7,MJP,AMRO,2009,EB7-09,07-03_2009,1,5,167,61.4,843.31,482,4.8,7.3,1.509,0.988545246,0.011454754,0.24137931,0.093844902,493.1557688,493.1557688,Old Road,H,R,Core
703,EB7,EB7,MJP,AMRO,2009,EB7-09,07-03_2009,1,4,171,61.4,843.31,482,4.8,7.3,1.509,0.988545246,0.011454754,0.24137931,0.093844902,493.1557688,493.1557688,Old Road,H,R,Core
703,EB7,EB7,MJP,AMRO,2009,EB7-09,07-03_2009,1,4,175,61.4,843.31,482,4.8,7.3,1.509,0.988545246,0.011454754,0.24137931,0.093844902,493.1557688,493.1557688,Old Road,H,R,Core
705,EB7,EB7,MJP,AMRO,2009,EB7-09,07-05_2009,1,4,158,63.3,949.37,407.85,4.8,7.3,1.509,1,0,0.240469049,0.094319676,493.1557688,493.1557688,Old Road,H,R,Core
705,EB7,EB7,MJP,AMRO,2009,EB7-09,07-05_2009,1,4,162,63.3,949.37,407.85,4.8,7.3,1.509,1,0,0.240469049,0.094319676,493.1557688,493.1557688,Old Road,H,R,Core
705,EB7,EB7,MJP,AMRO,2009,EB7-09,07-05_2009,1,5,167,63.3,949.37,407.85,4.8,7.3,1.509,1,0,0.240469049,0.094319676,493.1557688,493.1557688,Old Road,H,R,Core
705,EB7,EB7,MJP,AMRO,2009,EB7-09,07-05_2009,1,4,171,63.3,949.37,407.85,4.8,7.3,1.509,1,0,0.240469049,0.094319676,493.1557688,493.1557688,Old Road,H,R,Core
705,EB7,EB7,MJP,AMRO,2009,EB7-09,07-05_2009,1,4,175,63.3,949.37,407.85,4.8,7.3,1.509,1,0,0.240469049,0.094319676,493.1557688,493.1557688,Old Road,H,R,Core
706,EB7,EB7,MJP,AMRO,2009,EB7-09,07-06_2009,1,4,162,16.8,906.62,443.84,4.8,7.3,1.509,1,0,0.240849816,0.094189031,493.1557688,493.1557688,Old Road,H,R,Core
706,EB7,EB7,MJP,AMRO,2009,EB7-09,07-06_2009,0,5,167,16.8,906.62,443.84,4.8,7.3,1.509,1,0,0.240849816,0.094189031,493.1557688,493.1557688,Old Road,H,R,Core
711,EB7,EB7,MJP,AMRO,2009,EB7-09,07-11_2009,1,4,179,15.9,919.19,373.3,4.8,7.3,1.509,1,0,0.239986937,0.093185015,493.1557688,493.1557688,Old Road,H,R,Core
711,EB7,EB7,MJP,AMRO,2009,EB7-09,07-11_2009,0,3,182,15.9,919.19,373.3,4.8,7.3,1.509,1,0,0.239986937,0.093185015,493.1557688,493.1557688,Old Road,H,R,Core
713,EB7,EB7,MJP,AMRO,2009,EB7-09,07-13_2009,0,3,182,6.5,887.51,459.2,4.8,7.3,1.509,0.998857143,0.001142857,0.241053012,0.094105244,493.1557688,493.1557688,Old Road,H,R,Core
